"strongs_number","original_word","english_translation","transliteration","translated_word","word"
"G0406","ανδρεας","Andrew","Andréas","أندرو","وَأَنْدَرَاوُسُ"
"G0408","ανδρονικος","Andronicus","Andrónikos","أندرونيكوس","أَنْدَرُونِكُوسَ"
"G0451","αννα","Anna","Ánna","آنا","حَنَّةُ"
"G0452","αννας","Annas","Ánnas","حنان","حَنَّانَ"
"G0452","αννας","Annas","Ánnas","حنان","حَنَّانُ"
"G0490","αντιοχεια","Antioch","Antiócheia","أنطاكية","أَنْطَاكِيَةَ"
"G0490","αντιοχεια","Antioch","Antiócheia","أنطاكية","أَنْطَاكِيَةِ"
"G0490","αντιοχεια","Antioch","Antiócheia","أنطاكية","وَأَنْطَاكِيَةَ"
"G0493","αντιπας","Antipas","Antípas","أنتيباس","أَنْتِيبَاسُ"
"G0494","αντιπατρις","Antipatris","Antipatrís","أنتيباتريس","أَنْتِيبَاتْرِيسَ"
"G0559","απελλης","Apelles","Apellēs","أبيلس","أَبَلِّسَ"
"G0623","απολλυων","Apollyon","Apollýōn","أبوليون","أَبُولِّيُّونَ"
"G0624","απολλωνια","Apollonia","Apollōnía","أبولونيا","وَأَبُولُونِيَّةَ"
"G0625","απολλως","Apollos","Apollōs","أبولوس","أَبُلُّوسَ"
"G0625","απολλως","Apollos","Apollōs","أبولوس","أَبُلُّوسُ"
"G0625","απολλως","Apollos","Apollōs","أبولوس","لأَبُلُّوسَ"
"G0625","απολλως","Apollos","Apollōs","أبولوس","وَأَبُلُّوسَ"
"G0625","απολλως","Apollos","Apollōs","أبولوس","وَأَبُلُّوسُ"
"G0682","απφια","Apphia","Apphía","أبية","أَبْفِيَّةَ"
"G0697","αρειος παγος","Mars' Hill","Áreios Págos","تل المريخ","أَرِيُوسَ"
"G0697","αρειος παγος","Mars' Hill","Áreios Págos","تل المريخ","بَاغُوسَ"
"G0702","αρετας","Aretas","Arétas","Aretas","الْحَارِثِ"
"G0708","αρισταρχος","Aristarchus","Arístarchos","ارسترخوس","أَرَسْتَرْخُسُ"
"G0708","αρισταρχος","Aristarchus","Arístarchos","ارسترخوس","أَرِسْتَرْخُسُ"
"G0708","αρισταρχος","Aristarchus","Arístarchos","ارسترخوس","وَأَرِسْتَرْخُسَ"
"G0708","αρισταρχος","Aristarchus","Arístarchos","ارسترخوس","وَأَرِسْتَرْخُسُ"
"G0711","αριστοβουλος","Aristobulus","Aristóboulos","أريستوبولوس","أَرِسْتُوبُولُوسَ"
"G0734","αρτεμας","Artemas","Artemás","أرتيماس","أَرْتِيمَاسَ"
"G0735","αρτεμις","Artemis","Ártemis","أرتميس","أَرْطَامِيسُ"
"G0735","αρτεμις","Artemis","Ártemis","أرتميس","أَرْطَامِيسَ"
"G0735","αρτεμις","Artemis","Ártemis","أرتميس","لأَرْطَامِيسَ"
"G0745","αρχελαος","Archelaus","Archélaos","أرخيلاوس","أَرْخِيلاَوُسَ"
"G0751","αρχιππος","Archippus","Árchippos","أرخبوس","لأَرْخِبُّسَ"
"G0751","αρχιππος","Archippus","Árchippos","أرخبوس","وَأَرْخِبُّسَ"
"G0773","ασια","Asia","Asía","آسيا","أَسِيَّا"
"G0773","ασια","Asia","Asía","آسيا","الَّتِي فِي أَسِيَّا"
"G0773","ασια","Asia","Asía","آسيا","وَأَسِيَّا"
"G0775","ασιαρχης","Asiarch","Asiárchēs","عسير","وُجُوهِ أَسِيَّا"
"G0789","ασσος","Assos","Ássos","Assos","أَسُّوسَ"
"G0799","ασυγκριτος","Asyncritus","Asýnkritos","أسينكريتس","أَسِينْكِرِيتُسَ"
"G0825","ατταλεια","Attalia","Attáleia","أتاليا","أَتَّالِيَةَ"
"G0828","αυγουστος","Augustus","Augoûstos","أغسطس","أُوغُسْطُسَ"
"G0882","αχαια","Achaia","Achaḯa","أخائية","أَخَائِيَةَ"
"G0882","αχαια","Achaia","Achaḯa","أخائية","وَأَخَائِيَةَ"
"G0883","αχαικος","Achaicus","Achaïkós","أخيكوس","وَأَخَائِيكُوسَ"
"G0885","αχειμ","Akim","Acheím","أكيم","أَخِيمَ"
"G0885","αχειμ","Akim","Acheím","أكيم","وَأَخِيمُ"
"G0912","βαραββας","Barabbas","Barabbâs","باراباس","بَارَابَاسَ"
"G0912","βαραββας","Barabbas","Barabbâs","باراباس","بَارَابَاسُ"
"G0918","βαρθολομαιος","Bartholomew","Bartholomaîos","بارثولوميو","وَبَرْثُولَمَاوُسُ"
"G0918","βαρθολομαιος","Bartholomew","Bartholomaîos","بارثولوميو","وَبَرْثُولَمَاوُسَ"
"G0919","βαριησους","Bar-Jesus","Bariēsoûs","بار جيسوس","بَارْيَشُوعُ"
"G0920","βαριωνας","son of Jonas","Bariōnâs","ابن يوناس","بْنَ يُونَا"
"G0923","βαρσαβας","Barsabbas","Barsabâs","بارساباس","بَارْسَابَا"
"G0923","βαρσαβας","Barsabbas","Barsabâs","بارساباس","بَرْسَابَا"
"G0924","βαρτιμαιος","Bartimaeus","Bartimaîos","بارتيماوس","كَانَ بَارْتِيمَاوُسُ"
"G0955","βελιαλ","Belial","Belíal","بيليال","بَلِيعَالَ"
"G0959","βερνικη","Bernice","Berníkē","برنيس","وَبَرْنِيكِي"
"G0960","βεροια","Berea","Béroia","بيريا","بِيرِيَّةَ"
"G0963","βηθανια","Bethany","Bēthanía","بيثاني","بَيْتِ عَبْرَةَ"
"G0963","βηθανια","Bethany","Bēthanía","بيثاني","بَيْتُ عَنْيَا"
"G0963","βηθανια","Bethany","Bēthanía","بيثاني","بَيْتِ عَنْيَا"
"G0963","βηθανια","Bethany","Bēthanía","بيثاني","وَبَيْتِ عَنْيَا"
"G0964","βηθεσδα","Bethesda","Bēthesdá","بيثيسدا","بَيْتُ حِسْدَا"
"G0966","βηθσαιδα","Bethsaida","Bēthsaïdá","بيت صيدا","بَيْتِ صَيْدَا"
"G0966","βηθσαιδα","Bethsaida","Bēthsaïdá","بيت صيدا","بَيْتَ صَيْدَا"
"G0967","βηθφαγη","Bethphage","Bēthphagḗ","Bethphage","بَيْتِ فَاجِي"
"G0978","βιθυνια","Bithynia","Bithynía","بيثينية","بِثِينِيَّةَ"
"G0978","βιθυνια","Bithynia","Bithynía","بيثينية","وَبِيثِينِيَّةَ"
"G0986","βλαστος","Blastus","Blástos","بلاستوس","بَلاَسْتُسَ"
"G0993","βοανεργες","Boanerges","Boanergés","بوانرجيس","بُوَانَرْجِسَ"
"G1042","γαββαθα","Gabbatha","gabbathá","جاباثا","جَبَّاثَا"
"G1046","γαδαρηνος","Gadarene","Gadarēnós","جادارين","الْجِرْجَسِيِّينَ"
"G1050","γαιος","Gaius","Gáïos","جايوس","إِلَى غَايُسَ"
"G1050","γαιος","Gaius","Gáïos","جايوس","غَايُسُ"
"G1050","γαιος","Gaius","Gáïos","جايوس","غَايُوسَ"
"G1050","γαιος","Gaius","Gáïos","جايوس","وَغَايُسَ"
"G1050","γαιος","Gaius","Gáïos","جايوس","وَغَايُوسُ"
"G1053","γαλατια","Galatia","Galatía","غلاطية","غَلاَطِيَّةَ"
"G1053","γαλατια","Galatia","Galatía","غلاطية","وَغَلاَطِيَّةَ"
"G1058","γαλλιων","Gallio","Gallíōn","جاليو","غَالِيُونَ"
"G1058","γαλλιων","Gallio","Gallíōn","جاليو","غَالِيُونُ"
"G1058","γαλλιων","Gallio","Gallíōn","جاليو","وَلَمَّا كَانَ غَالِيُونُ"
"G1059","γαμαλιηλ","Gamaliel","Gamaliḗl","غماليل","غَمَالاَئِيلَ"
"G1059","γαμαλιηλ","Gamaliel","Gamaliḗl","غماليل","غَمَالاَئِيلُ"
"G1068","γεθσημανη","Gethsemane","Gethsēmanē","جثسيماني","جَثْسَيْمَانِي"
"G1082","γεννησαρετ","Gennesaret","Gennēsarét","جينيسارت","جَنِّيسَارَتَ"
"G1115","γολγοθα","Golgotha","Golgothâ","الجلجثة","جُلْجُثَةَ"
"G1115","γολγοθα","Golgotha","Golgothâ","الجلجثة","جُلْجُثَةُ"
"G1148","δαλμανουθα","Dalmanutha","Dalmanouthá","دالمانوتا","الأَقْرِبَاءِ"
"G1148","δαλμανουθα","Dalmanutha","Dalmanouthá","دالمانوتا","دَلْمَانُوثَةَ"
"G1149","δαλματια","Dalmatia","Dalmatía","دالماتيا","دَلْمَاطِيَّةَ"
"G1152","δαμαρις","Damaris","Dámaris","داماريس","دَامَرِسُ"
"G1179","δεκαπολις","Decapolis","Dekápolis","ديكابوليس","الْعَشْرِ الْمُدُنِ"
"G1179","δεκαπολις","Decapolis","Dekápolis","ديكابوليس","الْمُدُنِ الْعَشْرِ"
"G1179","δεκαπολις","Decapolis","Dekápolis","ديكابوليس","وَالْعَشْرِ الْمُدُنِ"
"G1190","δερβαιος","from Derbe","Derbaîos","من ديربي","الدَّرْبِيُّ"
"G1214","δημας","Demas","Dēmâs","ديماس","دِيمَاسَ"
"G1214","δημας","Demas","Dēmâs","ديماس","وَدِيمَاسُ"
"G1216","δημητριος","Demetrius","Dēmḗtrios","ديميتريوس","دِيمِتْرِيُوسُ"
"G1324","διδυμος","Didymus","Dídymos","ديديموس","التَّوْأَمُ"
"G1354","διονυσιος","Dionysius","Dionýsios","ديونيسيوس","دِيُونِيسِيُوسُ"
"G1361","διοτρεφης","Diotrephes","Diotrephḗs","ديوتريف","دِيُوتْرِيفِسَ"
"G1393","δορκας","Dorcas","Dorkás","طابيثا","غَزَالَةُ"
"G1409","δρουσιλλα","Drusilla","Droúsilla","Drusilla","دُرُوسِّلاَ"
"G1444","εβραικος","Hebrew","Hebraïkós","اللغة العبرية","وَعِبْرَانِيَّةٍ"
"G1456","εγκαινια","Feast of Dedication","enkaínia","عيد التفاني","عِيدُ التَّجْدِيدِ"
"G1648","ελεαζαρ","Eleazar","Eleázar","العازار","أَلِيعَازَرَ"
"G1648","ελεαζαρ","Eleazar","Eleázar","العازار","وَأَلِيعَازَرُ"
"G1662","ελιακειμ","Eliakim","Eliakeím","الياكيم","أَلِيَاقِيمَ"
"G1662","ελιακειμ","Eliakim","Eliakeím","الياكيم","بْنِ أَلِيَاقِيمَ"
"G1662","ελιακειμ","Eliakim","Eliakeím","الياكيم","وَأَلِيَاقِيمُ"
"G1663","ελιεζερ","Eliezer","Eliézer","اليعازر","بْنِ أَلِيعَازَرَ"
"G1664","ελιουδ","Eliud","Elioúd","إليود","أَلِيُودَ"
"G1664","ελιουδ","Eliud","Elioúd","إليود","وَأَلِيُودُ"
"G1665","ελισαβετ","Elizabeth","Elisábet","إليزابيث","أَلِيصَابَاتُ"
"G1665","ελισαβετ","Elizabeth","Elisábet","إليزابيث","أَلِيصَابَاتَ"
"G1673","ελληνικος","Greek","Hellēnikós","اليونانية","بِالْيُونَانِيَّةِ"
"G1673","ελληνικος","Greek","Hellēnikós","اليونانية","يُونَانِيَّةٍ"
"G1678","ελμωδαμ","Elmadam","Elmōdám","المدام","بْنِ أَلْمُودَامَ"
"G1681","ελυμας","Elymas","Elýmas","إليماس","عَلِيمٌ"
"G1695","εμμαους","Emmaus","Emmaoús","عمواس","عِمْوَاسُ"
"G1866","επαινετος","Epaenetus","Epaínetos","إبينيتوس","أَبَيْنِتُوسَ"
"G1889","επαφρας","Epaphras","Epaphrâs","ابافراس","أَبَفْرَاسَ"
"G1889","επαφρας","Epaphras","Epaphrâs","ابافراس","أَبَفْرَاسُ"
"G1891","επαφροδιτος","Epaphroditus","Epaphróditos","ابفرودتس","أَبَفْرُودِتُسَ"
"G1946","επικουρειος","Epicurean","Epikoúreios","أبيقوري","الأَبِيكُورِيِّينَ"
"G2037","εραστος","Erastus","Érastos","ايراستوس","أَرَاسْتُسُ"
"G2037","εραστος","Erastus","Érastos","ايراستوس","وَأَرَسْطُوسَ"
"G2057","ερμας","Hermas","Hermâs","هرماس","هَرْمَاسَ"
"G2060","ερμης","Hermes","Hermēs","هيرميس","هَرْمَسَ"
"G2060","ερμης","Hermes","Hermēs","هيرميس","وَهَرْمِيسَ"
"G2061","ερμογενης","Hermogenes","Hermogénēs","هيرموجينيس","وَهَرْمُوجَانِسُ"
"G2069","εσλι","Esli","Eslí","Esli","بْنِ حَسْلِي"
"G2103","ευβουλος","Eubulus","Eúboulos","يوبولوس","أَفْبُولُسُ"
"G2117","ευθυς","straight","euthýs","مستقيم","الْمُسْتَقِيمَ"
"G2117","ευθυς","straight","euthýs","مستقيم","الْمُسْتَقِيمُ"
"G2117","ευθυς","straight","euthýs","مستقيم","الْمُسْتَقِيمَةَ"
"G2117","ευθυς","straight","euthýs","مستقيم","مُسْتَقِيمًا"
"G2117","ευθυς","straight","euthýs","مستقيم","مُسْتَقِيمَةً"
"G2131","ευνικη","Eunice","Euníkē","يونيس","أَفْنِيكِي"
"G2136","ευοδια","Euodia","Euodía","يوديا","أَفُودِيَةَ"
"G2161","ευτυχος","Eutychus","Eútychos","Eutychus","أَفْتِيخُوسُ"
"G2181","εφεσος","Ephesus","Éphesos","افسس","أَفَسُسَ"
"G2181","εφεσος","Ephesus","Éphesos","افسس","مِنْ أَفَسُسَ"
"G2195","ζακχαιος","Zacchaeus","Zakchaîos","زكا","يَا زَكَّا"
"G2195","ζακχαιος","Zacchaeus","Zakchaîos","زكا","زَكَّا"
"G2197","ζαχαριας","Zechariah","Zacharías","زكريا","زَكَرِيَّا"
"G2197","ζαχαριας","Zechariah","Zacharías","زكريا","يَا زَكَرِيَّا"
"G2203","ζευς","Zeus","Zeús","زيوس","زَفْسَ"
"G2211","ζηνας","Zenas","Zēnâs","زيناس","زِينَاسَ"
"G2241","ηλι","Eli","ēlí","ايلي","إِيلِي"
"G2242","ηλι","Heli","Hēlí","طائرات الهليكوبتر","بْنِ هَالِي"
"G2262","ηρ","Er","Ḗr","إيه","بْنِ عِيرِ"
"G2264","ηρωδης","Herod","Hērṓdēs","هيرودس","لِهِيرُودُسَ"
"G2264","ηρωδης","Herod","Hērṓdēs","هيرودس","مَعَ هِيرُودُسَ"
"G2264","ηρωδης","Herod","Hērṓdēs","هيرودس","هِيرُودُسَ"
"G2264","ηρωδης","Herod","Hērṓdēs","هيرودس","هِيرُودُسُ"
"G2264","ηρωδης","Herod","Hērṓdēs","هيرودس","وَهِيرُودُسُ"
"G2267","ηρωδιων","Herodion","Hērōdíōn","هيروديون","هِيرُودِيُونَ"
"G2280","θαδδαιος","Thaddaeus","Thaddaîos","تداوس","تَدَّاوُسَ"
"G2280","θαδδαιος","Thaddaeus","Thaddaîos","تداوس","وَتَدَّاوُسَ"
"G2321","θεοφιλος","Theophilus","Theóphilos","ثيوفيلوس","ثَاوُفِيلُسُ"
"G2321","θεοφιλος","Theophilus","Theóphilos","ثيوفيلوس","يَا ثَاوُفِيلُسُ"
"G2332","θεσσαλονικη","Thessalonica","Thessaloníkē","ثيسالونيكي","تَسَالُونِيكِي"
"G2333","θευδας","Theudas","Theudâs","ثيوداس","ثُودَاسُ"
"G2363","θυατειρα","Thyatira","Thyáteira","ثياتيرا","ثَيَاتِيرَا"
"G2363","θυατειρα","Thyatira","Thyáteira","ثياتيرا","ثِيَاتِيرَا"
"G2381","θωμας","Thomas","Thōmâs","توماس","تُومَا"
"G2381","θωμας","Thomas","Thōmâs","توماس","لِتُومَا"
"G2381","θωμας","Thomas","Thōmâs","توماس","وَإِلهِي"
"G2381","θωμας","Thomas","Thōmâs","توماس","وَتُومَا"
"G2383","ιαειρος","Jairus","Iáeiros","يايرس","يَايِرُسُ"
"G2384","ιακωβ","Jacob","Iakṓb","يعقوب","بْنِ يَعْقُوبَ"
"G2384","ιακωβ","Jacob","Iakṓb","يعقوب","وَيَعْقُوبَ"
"G2384","ιακωβ","Jacob","Iakṓb","يعقوب","وَيَعْقُوبُ"
"G2384","ιακωβ","Jacob","Iakṓb","يعقوب","يَعْقُوبَ"
"G2384","ιακωβ","Jacob","Iakṓb","يعقوب","يَعْقُوبُ"
"G2385","ιακωβος","James","Iákōbos","جوامع","أَخَا يَعْقُوبَ"
"G2385","ιακωβος","James","Iákōbos","جوامع","عِنْدِ يَعْقُوبَ"
"G2385","ιακωβος","James","Iákōbos","جوامع","لِيَعْقُوبَ"
"G2385","ιακωβος","James","Iákōbos","جوامع","وَيَعْقُوبَ"
"G2385","ιακωβος","James","Iákōbos","جوامع","وَيَعْقُوبُ"
"G2385","ιακωβος","James","Iákōbos","جوامع","يَعْقُوبَ"
"G2385","ιακωβος","James","Iákōbos","جوامع","يَعْقُوبُ"
"G2387","ιαμβρης","Jambres","Iambrēs","جامبريس","وَيَمْبِرِيسُ"
"G2388","ιαννα","Janna","Ianná","جانا","بْنِ يَنَّا"
"G2389","ιαννης","Jannes","Iannēs","جانيس","يَنِّيسُ"
"G2394","ιασων","Jason","Iásōn","جايسون","وَيَاسُونُ"
"G2394","ιασων","Jason","Iásōn","جايسون","يَاسُونَ"
"G2394","ιασων","Jason","Iásōn","جايسون","يَاسُونُ"
"G2401","ιδουμαια","Idumea","Idoumaía","فكرة","أَدُومِيَّةَ"
"G2404","ιεραπολις","Hierapolis","Hierápolis","هيرابوليس","هِيَرَابُولِيسَ"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","يَا يَسُوعُ"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","يَسُوعَ"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","يَسُوعُ"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","أَنَّ يَسُوعَ"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","إِلَى يَسُوعَ"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","إِنَّ يَسُوعَ"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","بِالْمَسِيحِ"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","بْنِ يُوسِي"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","بِيَسُوعَ"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","فَبِيَسُوعَ"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","فَنَظَرَ يَسُوعُ حَوْلَهُ"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","فَيَسُوعُ"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","لِيَسُوعَ"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","لِيَسوع"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","مَا هُوَ لِيَسُوعَ"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","وَيَسُوعَ"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","وَيَسُوعُ"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","يَسُوعُ ذلِكَ"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","يَسُوع"
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","يَسُوعُ "
"G2424","ιησους","Jesus/Joshua","Iōsḗ","يسوع / يشوع","يَشُوعُ"
"G2430","ικονιον","Iconium","Ikónion","الايقونية","إِيقُونِيَةَ"
"G2430","ικονιον","Iconium","Ikónion","الايقونية","وَإِيقُونِيَةَ"
"G2430","ικονιον","Iconium","Ikónion","الايقونية","وَإِيقُونِيَّةَ"
"G2437","ιλλυρικον","Illyricum","Illyrikón","إليريكوم","إِللِّيرِيكُونَ"
"G2454","ιουδαισμος","Judaism","Ioudaïsmós","اليهودية","الدِّيَانَةِ الْيَهُودِيَّةِ"
"G2456","ιουλια","Julia","Ioulía","جوليا","وَجُولِيَا"
"G2457","ιουλιος","Julius","Ioúlios","يوليوس","يُولِيُوسُ"
"G2458","ιουνιας","Junias","Iouniâs","جونياس","وَيُونِيَاسَ"
"G2459","ιουστος","Justus","Ioûstos","نحن فقط","يُسْطُسَ"
"G2459","ιουστος","Justus","Ioûstos","نحن فقط","يُوسْتُسَ"
"G2459","ιουστος","Justus","Ioûstos","نحن فقط","يُوسْتُسُ"
"G2469","ισκαριωτης","Iscariot","Iskariṓtēs","الاسخريوطي","الإِسْخَرْيُوطِيَّ"
"G2469","ισκαριωτης","Iscariot","Iskariṓtēs","الاسخريوطي","الإِسْخَرْيُوطِيُّ"
"G2469","ισκαριωτης","Iscariot","Iskariṓtēs","الاسخريوطي","الإِسْخَرْيُوطِيِّ"
"G2482","ιταλια","Italy","Italía","إيطاليا","إِيطَالِيَا"
"G2482","ιταλια","Italy","Italía","إيطاليا","إِيطَالِيَة"
"G2489","ιωαννα","Joanna","Iōánna","جوانا","وَيُوَنَّا"
"G2490","ιωαννας","Joannan","Iōannâs","جوانان","بْنِ يُوحَنَّا"
"G2491","ιωαννης","John","Iōnâs","جون","يُوحَنَّا"
"G2491","ιωαννης","John","Iōnâs","جون","مِنْ يُوحَنَّا"
"G2491","ιωαννης","John","Iōnâs","جون","وَيُوحَنَّا"
"G2491","ιωαννης","John","Iōnâs","جون","يُونَا"
"G2494","ιωναν","Jonam","Iōnán","جونام","بْنِ يُونَانَ"
"G2497","ιωρειμ","Jorim","Iōreím","يوريم","بْنِ يُورِيمَ"
"G2500","ιωσης","Joses","Iōsēs","خوسيه","وَيُوسِي"
"G2500","ιωσης","Joses","Iōsēs","خوسيه","يُوسِي"
"G2501","ιωσηφ","Joseph","Iōsēs","جوزيف","يَا يُوسُفُ"
"G2501","ιωσηφ","Joseph","Iōsēs","جوزيف","بْنِ يُوسُفَ"
"G2501","ιωσηφ","Joseph","Iōsēs","جوزيف","فَيُوسُفُ"
"G2501","ιωσηφ","Joseph","Iōsēs","جوزيف","لِيُوسُفَ"
"G2501","ιωσηφ","Joseph","Iōsēs","جوزيف","وَيُوسُفَ"
"G2501","ιωσηφ","Joseph","Iōsēs","جوزيف","وَيُوسُفُ"
"G2501","ιωσηφ","Joseph","Iōsēs","جوزيف","وَيُوسِي"
"G2501","ιωσηφ","Joseph","Iōsēs","جوزيف","يُوسُفَ"
"G2501","ιωσηφ","Joseph","Iōsēs","جوزيف","يُوسُفُ"
"G2541","καισαρ","Caesar","Kaîsar","قيصر","إِلَى قَيْصَرَ"
"G2541","καισαρ","Caesar","Kaîsar","قيصر","لِقَيْصَرَ"
"G2541","καισαρ","Caesar","Kaîsar","قيصر","قَيْصَرَ"
"G2542","καισαρεια","Caesarea","Kaisáreia","قيصرية","قَيْصَرِيَّةَ"
"G2542","καισαρεια","Caesarea","Kaisáreia","قيصرية","قَيْصَرِيَّةِ"
